Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Preço Venda Atacado;Quantidade Mínima Atacado;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;Modelo;Código Balança;Código Interno;Tags;Tipo;NCM;CFOP;ORIGEM;CEST;Categoria PDV;Botão PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preço De;Preço Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descrição do Produto;Garantia;Itens Inclusos;Especificações
7900083008531;Produto;Gloss Labial Silk Skin Sparkle Kiss Ruby Rose 5ml;6,5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;2;Ruby Rose;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Gloss Labial Silk Skin Sparkle Kiss Ruby Rose 5ml;0;10;0;0;0;0;;;;
7900083008548;Produto;Gloss Labial Silk Skin Sunset Vibe Ruby Rose 5ml;6,5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;0;Ruby Rose;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Gloss Labial Silk Skin Sunset Vibe Ruby Rose 5ml;0;10;0;0;0;0;;;;
7900083008883;Produto;Batom Líquido Silk Skin Radiante Ruby Rose 4ml;7;10;0;0;Unidade;Sim;Maquiagem;Batom Líquido;Sim;1;4;Ruby Rose;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Batom Líquido;Batom Líquido Silk Skin Radiante Ruby Rose 4ml;0;10;0;0;0;0;;;;
7900083008890;Produto;Batom Líquido Silk Skin Serene Ruby Rose 4ml;7;10;0;0;Unidade;Sim;Maquiagem;Batom Líquido;Sim;1;0;Ruby Rose;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Batom Líquido;Batom Líquido Silk Skin Serene Ruby Rose 4ml;0;10;0;0;0;0;;;;
7898504927755;Produto;Batom da Vovó Miss France;2;5;0;0;Unidade;Sim;Maquiagem;Batom;Sim;1;5;Lua&Neve;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Batom;Batom da Vovó Miss France;0;5;0;0;0;0;;;;
7898634215548;Produto;Batom Gloss Latex Maçã Max Love 5ml;4,15;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;38;Max Love;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Batom Gloss Latex Maçã Max Love 5ml;0;10;0;0;0;0;;;;
7898933314867;Produto;Hidratante Labial Framboesa Isis MakeUp;6;10;0;0;Unidade;Sim;Lábios;Hidratante Labial;Sim;1;0;Isis Rezende Make-Up;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Lábios;Hidratante Labial;Hidratante Labial Framboesa Isis MakeUp;0;10;0;0;0;0;;;;
7908353611917;Produto;Hidratante Labial Love Isis MakeUp 10g;6;10;0;0;Unidade;Sim;Lábios;Hidratante Labial;Sim;1;0;Isis Rezende Make-Up;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Lábios;Hidratante Labial;Hidratante Labial Love Isis MakeUp 10g;0;10;0;0;0;0;;;;
7908353611924;Produto;Hidratante Labial Tutti-Frutti Isis MakeUp 10g;6;10;0;0;Unidade;Sim;Lábios;Hidratante Labial;Sim;1;0;Isis Rezende Make-Up;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Lábios;Hidratante Labial;Hidratante Labial Tutti-Frutti Isis MakeUp 10g;0;10;0;0;0;0;;;;
7898418037458;Produto;Hidratante Labial Maça Verde Super Poderes 10g;5,9;10;0;0;Unidade;Sim;Lábios;Hidratante Labial;Sim;1;6;Super Poderes;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Lábios;Hidratante Labial;Hidratante Labial Maça Verde Super Poderes 10g;0;10;0;0;0;0;;;;
7908420103796;Produto;Gloss Lip Ice Miss Rôse;5,99;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;3;Miss Rôse;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Gloss Lip Ice Miss Rôse;0;10;0;0;0;0;;;;
7908353611900;Produto;Hidratante Labial Morango Isis MakeUp 10g;6;10;0;0;Unidade;Sim;Lábios;Hidratante Labial;Sim;1;0;Isis Rezende Make-Up;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Lábios;Hidratante Labial;Hidratante Labial Morango Isis MakeUp 10g;0;10;0;0;0;0;;;;
7908353611931;Produto;Hidratante Labial Morango Isis MakeUp 10g;6;10;0;0;Unidade;Sim;Lábios;Hidratante Labial;Sim;1;2;Isis Rezende Make-Up;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Lábios;Hidratante Labial;Hidratante Labial Morango Isis MakeUp 10g;0;10;0;0;0;0;;;;
6973451223189;Produto;Lip Gloss Magic My Love Miss Betty;3,6;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;3;Miss Betty;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Lip Gloss Magic My Love Miss Betty;0;10;0;0;0;0;;;;
2000000000398;Produto;Lip Gloss Batom Lové Rain 6975626367858;5,8;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;9;Lové Rain;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Lip Gloss Batom Lové Rain 6975626367858;0;10;0;0;0;0;;;;
6937118811881;Produto;Lip Gloss Waterproof Lové Rain;6,5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;7;Lové Rain;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Lip Gloss Waterproof Lové Rain;0;10;0;0;0;0;;;;
7898968202887;Produto;Lip Gloss Snow Glow Lady Beauty 5ml;5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;0;Lady Beauty;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Lip Gloss Snow Glow Lady Beauty 5ml;0;10;0;0;0;0;;;;
6930249942417;Produto;Lip Gloss Volumoso 2 em 1 Lua&Neve;0;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;2;Lua&Neve;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Lip Gloss Volumoso 2 em 1 Lua&Neve;0;10;0;0;0;0;;;;
7898281091908;Produto;Brilho Labial Sereia Bella Safira;2;5;0;0;Unidade;Sim;Maquiagem;Brilho;Sim;1;0;Bella Safira;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Brilho;Brilho Labial Sereia Bella Safira;0;0;0;0;0;0;;;;
699264894725;Produto;Brilho Labial Roll-on Amor Anjo;0;5;0;0;Unidade;Sim;Maquiagem;Brilho;Sim;1;0;Amor Anjo;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Brilho;Brilho Labial Roll-on Amor Anjo;0;5;0;0;0;0;;;;
2000000000435;Produto;Lip Gloss Lové Rain 6979103007428;5;5;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;1;Lové Rain;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Lip Gloss Lové Rain 6979103007428;0;5;0;0;0;0;;;;
6799204052017;Produto;Gloss Labial Max Febella;6,83;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;3;Febella;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Gloss Labial Max Febella;0;10;0;0;0;0;;;;
6974482501147;Produto;Gloss Hudamoji 6ml;5;5;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;2;Hudamoji;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Gloss Hudamoji 6ml;0;5;0;0;0;0;;;;
7898130550976;Produto;Batom Matte Pop Lips Vivai 3,8g;4,5;10;0;0;Unidade;Sim;Maquiagem;Batom;Sim;1;1;Vivai;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Batom;Batom Matte Pop Lips Vivai 3,8g;0;10;0;0;0;0;;;;
6972857377243;Produto;Lip Volumoso Hudabeauty 8ml;3,5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;6;Hudabeauty;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Lip Volumoso Hudabeauty 8ml;0;10;0;0;0;0;;;;
6972857378981;Produto;Lip Oil Hudabeauty;3,5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;0;Hudabeauty;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Lip Oil Hudabeauty;0;10;0;0;0;0;;;;
6974482500140;Produto;Lip Gloss Plumer Hudamoji;5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;6;Hudamoji;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Lip Gloss Plumer Hudamoji;0;10;0;0;0;0;;;;
6975421571535;Produto;Lip Gloss Matte Lové Rain 8ml;5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;4;Lové Rain;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Lip Gloss Matte Lové Rain 8ml;0;10;0;0;0;0;;;;
6975948981084;Produto;Magic Lip Oil Miss Royal 4,3g;3,5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;15;Miss Royal;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Magic Lip Oil Miss Royal 4,3g;0;10;0;0;0;0;;;;
6975987457809;Produto;Lip Gloss Popsicle Lové Rain;0;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;1;Lové Rain;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Lip Gloss Popsicle Lové Rain;0;10;0;0;0;0;;;;
6976374471934;Produto;Batom com Glitter Labranche 8g;5,5;10;0;0;Unidade;Sim;Maquiagem;Batom;Sim;1;0;Labranche;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Batom;Batom com Glitter Lebranche 8g;0;10;0;0;0;0;;;;
6988741989126;Produto;Lip Gloss Phump Lua&Neve 1,5ml;5;5;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;4;Miamake;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Gloss;Lip Gloss Phump Lua&Neve 1,5ml;0;5;0;0;0;0;;;;
7842383008920;Produto;Batom 2em1 Lipstik Toque Special;5;5;0;0;Unidade;Sim;Maquiagem;Batom;Sim;1;1;Toque Especial;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Batom;Batom 2em1 Lipstik Toque Special;0;5;0;0;0;0;;;;
7842383010947;Produto;Batom Infantil D'Hermosa 3,8g;2,5;5;0;0;Unidade;Sim;Maquiagem;Batom;Sim;1;2;D'Hermosa;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Batom;Batom Infantil D'Hermosa 3,8g;0;5;0;0;0;0;;;;
7898508020421;Produto;Brilho Labial Morango Bella Femme;2,52;5;0;0;Unidade;Sim;Maquiagem;Brilho;Sim;1;0;Bella Femme;;;;;Mercadoria para Revenda;33041000;5102;2;2000900;;;Maquiagem;Brilho;Brilho Labial Morango Bella Femme;0;0;0;0;0;0;;;;
7898418036789;Produto;Lip Tint Glacee 3 em 1 Super Poderes 10ml;0;10;0;0;Unidade;Sim;Maquiagem;Lip Tint;Sim;1;2;Super Poderes;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Lip Tint;Lip Tint Glacee 3 em 1 Super Poderes 10ml;0;10;0;0;0;0;;;;
7898418036796;Produto;Lip Tint Jelly 3 em 1 Super Poderes 10ml;0;10;0;0;Unidade;Sim;Maquiagem;Lip Tint;Sim;1;0;Super Poderes;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Lip Tint;Lip Tint Jelly 3 em 1 Super Poderes 10ml;0;10;0;0;0;0;;;;
7898418036802;Produto;Lip Tint Labum 3 em 1 Super Poderes 10ml;0;10;0;0;Unidade;Sim;Maquiagem;Lip Tint;Sim;1;1;Super Poderes;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Lip Tint;Lip Tint Labum 3 em 1 Super Poderes 10ml;0;10;0;0;0;0;;;;
7898449401730;Produto;Lip Balm Tutti-Frutti Phállebeauy 3,5g;1,99;10;0;0;Unidade;Sim;Maquiagem;Lip Balm;Sim;1;0;Phállebeauty;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Lip Balm;Lip Balm Tutti-Frutti Phállebeauy 3,5g;0;10;0;0;0;0;;;;
