Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;NCM;CEST;Origem
2E+12;Produto;Sérum Reparador de Pontas Coco & Rícino Gold 30ml;5.00;10.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;1.000;Age Cosméticos;33049910;2001400;0
2E+12;Produto;Sérum Lily Gold 30ml;7.50;13.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
2E+12;Produto;Sérum Malbec Gold 30ml;7.50;13.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
2E+12;Produto;Sérum Kaiak Gold 30ml;7.50;13.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
2E+12;Produto;Sérum Reparador Perfumado Lady Milion Kosnattu´s;11.10;17.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;1.000;Age Cosméticos;33049910;2001400;0
7,89978E+12;Produto;Sérum Reparador Perfumado Lily Kosnattu´s;11.10;17.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
7,89864E+12;Produto;Reparador de Pontas Coco Age 30ml;2.80;7.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;2.000;Age Cosméticos;33049910;2001400;0
7,89864E+12;Produto;Reparador de Pontas Cachos Perfeitos Age 30ml;2.80;7.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
7,89864E+12;Produto;Reparador de Pontas Rícino Age 30ml;2.80;7.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
7,89864E+12;Produto;Reparador de Pontas Argan Age 30ml;2.80;7.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
7,89864E+12;Produto;Reparador de Pontas Queratina Age 30ml;2.80;7.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
7,90851E+12;Produto;Reparador de Pontas Coco Bio Instinto 50ml;8.70;17.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
7,89847E+12;Produto;Tintura Ouro Negro 1.11 Alta Moda Alfaparf;7.39;13.00;Unidade;Sim;Cabelo;Tintura;Sim;1.000;5.000;Alfaparf;33059000;2002200;0
7,89847E+12;Produto;Tintura Caffé 3 Alta Moda Alfaparf;7.40;13.00;Unidade;Sim;Cabelo;Tintura;Sim;1.000;0.000;Alfaparf;33059000;2002200;0
7,89847E+12;Produto;Tintura Castanho 4 Alta Moda Alfaparf;7.35;13.00;Unidade;Sim;Cabelo;Tintura;Sim;1.000;0.000;Alfaparf;33059000;2002200;0
7,89847E+12;Produto;Tintura Mel 7 Alta Moda Alfaparf;7.98;13.00;Unidade;Sim;Cabelo;Tintura;Sim;1.000;0.000;Alfaparf;33059000;2002200;0
7,89847E+12;Produto;Tintura Jabuticaba 1 Alta Moda Alfaparf;7.40;13.00;Unidade;Sim;Cabelo;Tintura;Sim;1.000;1.000;Alfaparf;33059000;2002200;0
7,89988E+12;Produto;Tintura Castanho 6.7 Chocolate Alta Moda Alfaparf;7.40;13.00;Unidade;Sim;Cabelo;Tintura;Sim;1.000;2.000;Alfaparf;33059000;2002200;0
7,89897E+12;Produto;Água Micelar Melancia Alleva;5.00;10.00;Unidade;Sim;Maquiagem;Água Micelar;Sim;0.000;0.000;Alleva;33049990;2001500;0
7,89872E+12;Produto;Gel Aromatizante para Virilha Beijável Beijinho Doce Abacaxi com Leite de Coco Aloquímica 250g;7.95;15.00;Unidade;Sim;Corpo;Gel;Sim;1.000;11.000;Aloquímica;30067000;2000500;0
7,44689E+12;Produto;Gel Aromatizante para Virilha Beijável Beijinho Doce Morango com Chantilly Aloquímica 250g;7.00;15.00;Unidade;Sim;Corpo;Gel;Sim;1.000;1.000;Aloquímica;30067000;2000500;2
6,99265E+11;Produto;Brilho Labial Roll-on Amor Anjo;0.00;5.00;Unidade;Sim;Maquiagem;Brilho;Sim;1.000;0.000;Amor Anjo;33041000;2000900;2
2E+12;Produto;Brilho Labial Amor Anjo 6972393104112;5.00;10.00;Unidade;Sim;Maquiagem;Brilho;Sim;1.000;24.000;Amor Anjo;33041000;2000900;2
2E+12;Produto;Brilho Labial Amor Anjo 6977516230389;5.00;10.00;Unidade;Sim;Maquiagem;Brilho;Sim;1.000;8.000;Amor Anjo;33041000;2000900;2
2E+12;Produto;Lip Gloss Amor Anjo 6939687891691;5.00;10.00;Unidade;Sim;Maquiagem;Gloss;Sim;1.000;1.000;Amor Anjo;33041000;2000900;2
6,9532E+12;Produto;Lip Gloss Matte Amor Anjo;5.50;10.00;Unidade;Sim;Maquiagem;Gloss;Sim;1.000;0.000;Amor Anjo;33041000;2000900;2
6,91975E+12;Produto;Lip Gloss Matte Longa Duração Amor Anjo;4.50;10.00;Unidade;Sim;Maquiagem;Gloss;Sim;1.000;1.000;Amor Anjo;33041000;2000900;2
7,89894E+12;Produto;Hidratante Rosa Mosqueta Apiderm 190g;5.90;10.00;Unidade;Sim;Corpo;Hidratante;Sim;1.000;4.000;Apiderm;33049990;2001500;0
7,89894E+12;Produto;Hidratante Orquídea Apiderm 190g;5.95;10.00;Unidade;Sim;Corpo;Hidratante;Sim;1.000;0.000;Apiderm;33049990;2001500;0
7,89894E+12;Produto;Hidratante Morango do Nordeste Apiderm 190g;5.89;10.00;Unidade;Sim;Corpo;Hidratante;Sim;1.000;11.000;Apiderm;33049990;2001500;0
7,89894E+12;Produto;Hidratante Rosê Maria Apiderm 190g;5.90;10.00;Unidade;Sim;Corpo;Hidratante;Sim;1.000;7.000;Apiderm;33049990;2001500;0
7,89894E+12;Produto;Hidratante Ameixa Apiderm 190g;6.45;10.00;Unidade;Sim;Corpo;Hidratante;Sim;1.000;8.000;Apiderm;33049990;2001500;0
7,89874E+12;Produto;Hidratante Babbaloko Tutti-Fruitt Apiderm 190g;5.91;10.00;Unidade;Sim;Corpo;Hidratante;Sim;1.000;17.000;Apiderm;33049990;2001500;0
7,89874E+12;Produto;Hidratante Cereja & Avelã Apiderm 190g;5.90;10.00;Unidade;Sim;Corpo;Hidratante;Sim;1.000;8.000;Apiderm;33049990;2001500;0
7,89874E+12;Produto;Body Splash Sweet Flower Apinil 130ml;7.55;10.00;Unidade;Sim;Corpo;Body Splash;Sim;1.000;0.000;Apinil Cosméticos;33072010;2002700;0
7,89874E+12;Produto;Body Splash Sweet Love Apinil 130ml;7.55;10.00;Unidade;Sim;Corpo;Body Splash;Sim;1.000;0.000;Apinil Cosméticos;33072010;2002700;0
7,89874E+12;Produto;Body Splash Babbaloko Morango Apinil 130ml;7.55;10.00;Unidade;Sim;Corpo;Body Splash;Sim;1.000;0.000;Apinil Cosméticos;33072010;2002700;0
7,89874E+12;Produto;Creme para Pentear Leite Siliconizado Apinil 320g;5.90;10.00;Unidade;Sim;Cabelo;Creme para Pentear;Sim;1.000;4.000;Apinil Cosméticos;33052000;2001800;0
7,89874E+12;Produto;Esfoliante Corporal e Facial Morango Apinil 190g;6.99;10.00;Unidade;Sim;Skincare;Esfoliante;Sim;1.000;5.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Esfoliante Corporal e Facial Pitaya Apinil 190g;7.00;10.00;Unidade;Sim;Skincare;Esfoliante;Sim;1.000;3.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Esfoliante Corporal e Facial Babbaloko Tutti-Fruitt Apiderm 190g;6.73;10.00;Unidade;Sim;Skincare;Esfoliante;Sim;1.000;0.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Gelatina Babbaloko Melancia Apinil 500g;7.15;10.00;Unidade;Sim;Cabelo;Gelatina;Sim;1.000;4.000;Apinil Cosméticos;33059000;2002000;0
7,89874E+12;Produto;Gelatina Babbaloko Morango Apinil 500g;7.15;10.00;Unidade;Sim;Cabelo;Gelatina;Sim;1.000;2.000;Apinil Cosméticos;33059000;2002000;0
7,89874E+12;Produto;Gelatina Babbaloko Tutti-Fruitt Apinil 500g;7.15;10.00;Unidade;Sim;Cabelo;Gelatina;Sim;1.000;0.000;Apinil Cosméticos;33059000;2002000;0
7,89874E+12;Produto;Gelatina Babbaloko Uva Apinil 500g;7.15;10.00;Unidade;Sim;Cabelo;Gelatina;Sim;1.000;3.000;Apinil Cosméticos;33059000;2002000;0
7,89874E+12;Produto;Loção Hidratante Melinda Apinil 190g;7.05;10.00;Unidade;Sim;Corpo;Hidratante;Sim;1.000;2.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Kit Capilar Babbaloko Hair Morango Liso Perfeito Apinil;22.00;40.00;Unidade;Sim;Cabelo;Kit Capilar;Sim;1.000;0.000;Apinil Cosméticos;33049910;2001400;0
7,89874E+12;Produto;Kit Capilar Melinda Apinil;20.75;40.00;Unidade;Sim;Cabelo;Kit Capilar;Sim;1.000;1.000;Apinil Cosméticos;33049910;2001400;0
7,89874E+12;Produto;Reparador de Pontas Ácido Hialurônico Apinil Cosméticos 60ml;6.75;17.00;Unidade;Sim;Cabelo;Óleo;Sim;1.000;3.000;Apinil Cosméticos;33049910;2001400;0
7,89874E+12;Produto;Reparador de Pontas Óleo de Argan, Ácido Hialurônico e Oliva Apinil Cosméticos 60ml;6.75;17.00;Unidade;Sim;Cabelo;Óleo;Sim;1.000;1.000;Apinil Cosméticos;33049910;2001400;0
7,89874E+12;Produto;Hidratação para os Fios D-Pantenol Apinil Cosméticos 60ml;6.75;17.00;Unidade;Sim;Cabelo;Óleo;Sim;1.000;4.000;Apinil Cosméticos;33049910;2001400;0
7,89874E+12;Produto;Óleo de Argan Apinil Cosméticos 60ml;6.75;17.00;Unidade;Sim;Cabelo;Óleo;Sim;1.000;2.000;Apinil Cosméticos;33049910;2001400;0
7,89874E+12;Produto;Óleo de Rosa Mosqueta Apinil Cosméticos 60ml;6.75;17.00;Unidade;Sim;Cabelo;Óleo;Sim;1.000;0.000;Apinil Cosméticos;33049910;2001400;0
7,89874E+12;Produto;Reparador de Pontas Óleo de Tutano Apinil Cosméticos 60ml;6.75;17.00;Unidade;Sim;Cabelo;Óleo;Sim;1.000;0.000;Apinil Cosméticos;33049910;2001400;0
7,89874E+12;Produto;Óleo de Rícino Ilumination Oil Apinil 60ml;6.50;17.00;Unidade;Sim;Cabelo;Óleo;Sim;1.000;18.000;Apinil Cosméticos;33019010;2001400;0
7,89874E+12;Produto;Perfume de Calcinha Babbaloko Uva Apinil 40ml;4.45;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;1.000;2.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Perfume de Calcinha Cereja Apinil 40ml;4.45;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;1.000;2.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Perfume de Calcinha Chocolate Nutela Apinil 40ml;4.45;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;1.000;1.000;Apinil Cosméticos;33049990;2001500;0
7,89894E+12;Produto;Perfume de Calcinha Menta Apinil 40ml;4.45;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;1.000;2.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Perfume de Calcinha Tutti-Fruitt Apinil 40ml;4.45;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;1.000;1.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Perfume de Calcinha Algodão Doce Apinil 40ml;4.45;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;1.000;2.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Perfume de Calcinha Maçã do Amor Apinil 40ml;4.45;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;1.000;3.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Perfume de Calcinha Melancia Apinil 40ml;4.85;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;1.000;1.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Perfume de Calcinha Morango com Champagne Apinil 40ml;4.82;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;1.000;1.000;Apinil Cosméticos;33049990;2001500;0
7,89874E+12;Produto;Perfume de Calcinha Baunilha Apinil 40ml;4.45;10.00;Unidade;Sim;Corpo;Perfume de Calcinha;Sim;0.000;1.000;Apinil Cosméticos;33030020;2800200;0
7,89894E+12;Produto;Pomada Preta Premium Apinil 240g;2.60;6.00;Unidade;Sim;Variedade;Pomada;Sim;1.000;5.000;Apinil Cosméticos;33049990;2001500;0
7,89894E+12;Produto;Sabonete Íntimo Amora Negra Apinil 200ml;3.35;8.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;0.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo 17 Ervas Apinil 200ml;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;2.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Uva e Açaí Apinil 200ml;3.35;8.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;0.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Menta Apinil 200ml;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;0.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Maçã Hot Apinil 200ml;3.50;8.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;1.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Melancia Ice Apinil 200ml;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;8.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Algodão Doce & Chiclete Apinil 200ml;3.35;8.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;1.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Chocolate & Menta Apinil 200ml;3.35;8.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;0.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Rosa Mosqueta Apinil 200ml;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;1.000;Apinil Cosméticos;34013000;2003700;0
7,89874E+12;Produto;Sabonete Íntimo Tutti-Fruitt Apinil 200ml;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;4.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Maracujá Apinil 200ml;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;3.000;Apinil Cosméticos;34013000;2003700;0
7,89874E+12;Produto;Sabonete Íntimo Babbaloko Uva Apinil 200ml;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;7.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Morango Apinil 200ml;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;4.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;SABONETE 17 ERVAS 220ML APINIL;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;0.000;Apinil Cosméticos;34013000;2003700;0
7,89874E+12;Produto;Sabonete Íntimo Melinda Apinil 200ml;3.45;8.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;6.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Íntimo Talco Apinil 200ml;3.35;10.00;Unidade;Sim;Corpo;Sabonete Íntimo;Sim;1.000;1.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Sabonete Masculino Apimen Apinil 200ml;3.50;8.00;Unidade;Sim;Corpo;Sabonete Masculino;Sim;1.000;0.000;Apinil Cosméticos;34013000;2003700;0
7,89894E+12;Produto;Óleo de Menta Natural Apinil;3.25;7.00;Unidade;Sim;Variedade;Variedade;Sim;1.000;41.000;Apinil Cosméticos;33043000;2001200;0
7,90824E+12;Produto;Pó Compacto Cores Claras Cor 01 Asu Makeup 12g;3.50;5.00;Unidade;Sim;Maquiagem;Pó Compacto;Sim;1.000;0.000;Asu Makeup;33049100;2001300;0
7,90824E+12;Produto;Pó Compacto Cores Médias Cor 04 Asu Makeup 12g;3.50;10.00;Unidade;Sim;Maquiagem;Pó Compacto;Sim;1.000;2.000;Asu Makeup;33049100;2001300;0
7,90824E+12;Produto;Pó Compacto Cores Médias Cor 01 Asu Makeup 12g;3.50;5.00;Unidade;Sim;Maquiagem;Pó Compacto;Sim;1.000;0.000;Asu Makeup;33049100;2001300;0
2E+12;Produto;Bolsa de Mão Atomo;41.66;65.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;2.000;Atomo;42022900;2804100;2
2E+12;Produto;Bolsa de Mão Atomo;25.39;40.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;4.000;Atomo;42022900;2804100;2
2E+12;Produto;Bolsa de Mão Atomo;37.00;55.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;3.000;Atomo;42022900;2804100;2
2E+12;Produto;Bolsa de Mão Importado;20.00;35.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;10.000;Atomo;42022900;2804100;2
2E+12;Produto;Bolsa de Mão Atomo;45.00;75.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;0.000;Atomo;42022900;2804100;2
2E+12;Produto;Bolsa de Mão Importado;35.00;50.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;1.000;Atomo;42022900;2804100;2
2E+12;Produto;Bolsa de Mão Importado;20.00;45.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;2.000;Atomo;42022900;2804100;2
2E+12;Produto;Bolsa de Mão Importado;40.00;70.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;1.000;Atomo;42022900;2804100;2
2E+12;Produto;Bolsa Feminina;45.00;70.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;0.000;Atomo;42029900;2804200;0
2E+12;Produto;Bolsa Masculina Grande;49.00;70.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;2.000;Atomo;42029900;2804200;0
2E+12;Produto;Bolsa Feminina;34.00;60.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;2.000;Atomo;42029900;2804200;0
2E+12;Produto;Bolsa de Lado;15.00;25.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;0.000;Atomo;42029900;2804200;2
2E+12;Produto;Bolsa de Lado com Suporte para Celular;15.00;29.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;0.000;Atomo;42029900;2804200;2
2E+12;Produto;Bolsa de Moeda;7.00;10.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;12.000;Atomo;42029900;2804200;2
2E+12;Produto;Bolsa Feminina;35.00;45.00;Unidade;Sim;Variedade;Bolsa;Sim;1.000;1.000;Atomo;42029900;2804200;0
2E+12;Produto;Chapinha Atomo Importado;6.50;10.00;Unidade;Sim;Cabelo;Chapinha;Sim;1.000;4.000;Atomo;85163200;2110300;2
6,95512E+12;Produto;Cortador de Unha Atomo;2.17;5.00;Unidade;Sim;Unha;Cortador;Sim;1.000;4.000;Atomo;82142000;2005500;0
7,89314E+12;Produto;Creme Hidratante Rosa Mosqueta Baruc 50g;3.05;8.00;Unidade;Sim;Rosto;Hidratante;Sim;1.000;0.000;Baruc;33049990;2001500;0
7,89002E+12;Produto;Pomada Micosan Baruc 50g;2.21;5.00;Unidade;Sim;Variedade;Pomada;Sim;1.000;6.000;Baruc;33049990;2001500;0
7,89797E+11;Produto;Sabonete Líquido Micosan Baruc 200ml;4.60;10.00;Unidade;Sim;Corpo;Sabonete Líquido;Sim;1.000;0.000;Baruc;34013000;2003700;0
2E+12;Produto;Máscara para Cílios Lové Rain 6985553170759;5.50;12.00;Unidade;Sim;Cílios;Máscara;Sim;1.000;20.000;Beauty Model;33042010;2001000;2
6,97185E+12;Produto;Máscara para Cílios Grapes Beauty Model;0.00;10.00;Unidade;Sim;Cílios;Máscara;Sim;1.000;2.000;Beauty Model;33042010;2001000;0
7,89847E+12;Produto;Acidificante Capilar Ph Control Belkit;10.00;15.00;Unidade;Sim;Cabelo;Acidificante;Sim;1.000;0.000;Belkit;33059000;2002000;0
7,89847E+12;Produto;Creme Hidratante Corporal Beijinhos Uva Bel Kit 475ml;8.43;10.00;Unidade;Sim;Rosto;Hidratante;Sim;1.000;0.000;Belkit;33049990;2001500;0
7,89847E+12;Produto;Creme Hidratante Corporal Beijinhos Melancia Bel Kit 475ml;8.25;10.00;Unidade;Sim;Rosto;Hidratante;Sim;1.000;0.000;Belkit;33049990;2001500;0
7,89847E+12;Produto;Creme Hidratante Corporal Beijinhos Morango Bel Kit 475ml;8.25;10.00;Unidade;Sim;Rosto;Hidratante;Sim;1.000;0.000;Belkit;33049990;2001500;0
7,89847E+12;Produto;Creme Hidratante Corporal Bababloom Tutti Frutti Bel Kit 475ml;7.85;10.00;Unidade;Sim;Rosto;Hidratante;Sim;1.000;0.000;Belkit;33049990;2001500;0
7,89847E+12;Produto;Creme Hidratante Corporal Amêndoas Bel Kit 475ml;7.85;10.00;Unidade;Sim;Rosto;Hidratante;Sim;1.000;0.000;Belkit;33049990;2001500;0
7,89847E+12;Produto;Kit Capilar Beijinhos Melancia Bel Kit;12.45;25.00;Unidade;Sim;Cabelo;Kit Capilar;Sim;1.000;4.000;Belkit;33049910;2001400;0
7,89847E+12;Produto;Kit Capilar Beijinhos Uva Bel Kit;12.45;25.00;Unidade;Sim;Cabelo;Kit Capilar;Sim;1.000;0.000;Belkit;33049910;2001400;0
7,89847E+12;Produto;Kit Capilar Beijinhos Morango Bel Kit;12.45;25.00;Unidade;Sim;Cabelo;Kit Capilar;Sim;1.000;1.000;Belkit;33049910;2001400;0
7,89847E+12;Produto;Máscara Coco Belkit 1kg;10.00;15.00;Unidade;Sim;Cabelo;Máscara;Sim;1.000;0.000;Belkit;33052000;2001800;0
7,89847E+12;Produto;Máscara Bomba Explosion Belkit 1kg;10.00;15.00;Unidade;Sim;Cabelo;Máscara;Sim;1.000;1.000;Belkit;33052000;2001800;0
7,89847E+12;Produto;Máscara Capilar Argan Belkit 1kg;10.00;15.00;Unidade;Sim;Cabelo;Máscara;Sim;1.000;1.000;Belkit;33052000;2001800;0
7,89847E+12;Produto;Spray Hidratante Penteia Cabelo BelKit;7.85;10.00;Unidade;Sim;Cabelo;Spray;Sim;1.000;6.000;Belkit;33049910;2001400;0
7,89847E+12;Produto;Tratamento Único BelKit 200ml;9.95;20.00;Unidade;Sim;Cabelo;Tintura;Sim;1.000;2.000;Belkit;33049910;2001400;0
7,89875E+12;Produto;Gelatina Bababell Tutti Frutti Bell Corpus 500g;10.00;18.00;Unidade;Sim;Cabelo;Gelatina;Sim;1.000;1.000;Bell Corpus;33059000;2002000;0
7,89964E+12;Produto;Gelatina Morango Bella Femme;8.00;15.00;Unidade;Sim;Cabelo;Gelatina;Sim;1.000;0.000;Bell Corpus;33059000;2002000;0
7,89964E+12;Produto;Gelatina Melancia Bella Femme;8.00;15.00;Unidade;Sim;Cabelo;Gelatina;Sim;1.000;0.000;Bell Corpus;33059000;2002000;0
7,89964E+12;Produto;Gelatina Uva Bella Femme;8.00;15.00;Unidade;Sim;Cabelo;Gelatina;Sim;1.000;0.000;Bell Corpus;33059000;2002000;0
7,89964E+12;Produto;Gelatina Tutti Frutt Bella Femme;8.00;15.00;Unidade;Sim;Cabelo;Gelatina;Sim;1.000;3.000;Bell Corpus;33059000;2002000;0
7,89894E+12;Produto;Loção Milagrosa Desodorante para os Pés Bio Instinto 30ml;3.05;10.00;Unidade;Sim;Pé;Hidratante;Sim;1.000;3.000;Bell Corpus;33049990;2001500;0
7,89894E+12;Produto;Loção Hidratante para os Pés Bell Corpus 30ml;6.00;10.00;Unidade;Sim;Pé;Hidratante;Sim;1.000;1.000;Bell Corpus;33049990;2001500;0
7,89875E+12;Produto;Kit Capilar Unicórnio Feliz Charmelle;24.30;40.00;Unidade;Sim;Cabelo;Kit Capilar;Sim;1.000;0.000;Bell Corpus;33049910;2001400;0
7,89894E+12;Produto;Kit Capilar Ômega 3 Bell Corps;15.50;30.00;Unidade;Sim;Cabelo;Kit Capilar;Sim;1.000;0.000;Bell Corpus;33049910;2001400;0
7,89875E+12;Produto;Kit Capilar Babablu Banana Bell Curpus 500g;15.50;30.00;Unidade;Sim;Cabelo;Kit Capilar;Sim;1.000;0.000;Bell Corpus;33049910;2001400;0
7,89894E+12;Produto;Kit Capilar Babosa Bell Curpus;15.50;30.00;Unidade;Sim;Cabelo;Kit Capilar;Sim;1.000;0.000;Bell Corpus;33049910;2001400;0
